sequence_id,label,length,net_charge_per_residue,hydrophobic_percent,polar_percent,charged_percent,gly_percent,pro_percent,ambiguous_count,ambiguous_rate,top1_type,top1_identity,top1_score,top1_coverage,top2_type,top2_identity,delta_top1_top2,type1_score,type1_aligned_len,type1_coverage,type1_identity,type1_mismatch_rate,type1_gap_rate,type1_conservation_match,type2_score,type2_aligned_len,type2_coverage,type2_identity,type2_mismatch_rate,type2_gap_rate,type2_conservation_match,type3_score,type3_aligned_len,type3_coverage,type3_identity,type3_mismatch_rate,type3_gap_rate,type3_conservation_match,type4_score,type4_aligned_len,type4_coverage,type4_identity,type4_mismatch_rate,type4_gap_rate,type4_conservation_match,afgp_score,afgp_aligned_len,afgp_coverage,afgp_identity,afgp_mismatch_rate,afgp_gap_rate,afgp_conservation_match,alignment_failed,low_coverage
P02734,AFP,85,0.0,72.94117647058823,16.470588235294116,9.411764705882353,1.1764705882352942,4.705882352941177,0,0.0,type1,0.8588235294117647,55.5,1.0,afgp,0.8352941176470589,0.0235294117647058,55.5,85,1.0,0.8588235294117647,0.1411764705882353,0.0,0.2662285083096013,-49.5,85,1.0,0.4117647058823529,0.5882352941176471,0.0,0.3570573035737168,-40.0,72,0.8470588235294118,0.2777777777777778,0.7222222222222222,0.0,0.6510999418992601,-44.0,78,0.9176470588235294,0.34615384615384615,0.6538461538461539,0.0,0.4063620189256646,-257.5,85,1.0,0.8352941176470589,0.16470588235294117,0.0,0.977431813717006,0,0
P04367,AFP,33,0.06060606060606061,72.72727272727273,9.090909090909092,18.181818181818183,0.0,3.0303030303030303,0,0.0,type1,0.9393939393939394,-49.0,1.0,afgp,0.7878787878787878,0.1515151515151516,-49.0,33,1.0,0.9393939393939394,0.06060606060606061,0.0,0.3770686479682742,-53.5,33,1.0,0.7575757575757576,0.24242424242424243,0.0,0.3451203279113235,-29.0,23,0.696969696969697,0.6521739130434783,0.34782608695652173,0.0,0.6699356882490239,-37.5,33,1.0,0.6060606060606061,0.3939393939393939,0.0,0.4007746208843229,-350.0,33,1.0,0.7878787878787878,0.21212121212121213,0.0,1.0,0,0
P04368,AFP,45,0.06666666666666667,71.11111111111111,11.11111111111111,15.555555555555555,2.2222222222222223,2.2222222222222223,0,0.0,type1,0.8666666666666667,-32.5,1.0,afgp,0.7333333333333333,0.13333333333333341,-32.5,45,1.0,0.8666666666666667,0.13333333333333333,0.0,0.4475468379260021,-52.0,45,1.0,0.7111111111111111,0.28888888888888886,0.0,0.37327759224002727,-32.0,37,0.8222222222222222,0.43243243243243246,0.5675675675675675,0.0,0.6707308556609488,-37.5,38,0.8444444444444444,0.6052631578947368,0.39473684210526316,0.0,0.37005668834977984,-338.0,45,1.0,0.7333333333333333,0.26666666666666666,0.0,1.0,0,0
P07835,AFP,91,0.0,72.52747252747253,16.483516483516482,8.791208791208792,2.197802197802198,4.395604395604396,0,0.0,type1,0.9010989010989011,79.5,1.0,afgp,0.7912087912087912,0.10989010989010994,79.5,91,1.0,0.9010989010989011,0.0989010989010989,0.0,0.25195073294469417,-45.0,85,0.9340659340659341,0.4470588235294118,0.5529411764705883,0.0,0.4139583820220577,-34.0,52,0.5714285714285714,0.5,0.5,0.0,0.6405243587524646,-39.5,76,0.8351648351648352,0.42105263157894735,0.5789473684210527,0.0,0.40067269708375414,-266.5,91,1.0,0.7912087912087912,0.2087912087912088,0.0,0.9789198259994012,0,0
P09031,AFP,97,-0.030927835051546393,72.16494845360825,12.371134020618557,13.402061855670103,2.0618556701030926,4.123711340206185,0,0.0,type1,0.8969072164948454,84.0,1.0,afgp,0.7731958762886598,0.12371134020618557,84.0,97,1.0,0.8969072164948454,0.10309278350515463,0.0,0.34089155052667425,-45.0,90,0.9278350515463918,0.4666666666666667,0.5333333333333333,0.0,0.45671953673254884,-37.0,73,0.7525773195876289,0.3424657534246575,0.6575342465753424,0.0,0.6421807646129689,-38.0,84,0.865979381443299,0.39285714285714285,0.6071428571428571,0.0,0.3882682536935278,-266.5,97,1.0,0.7731958762886598,0.2268041237113402,0.0,0.980223754288098,0,0
P11920,AFP,19,0.05263157894736842,68.42105263157895,26.31578947368421,5.263157894736842,0.0,10.526315789473683,0,0.0,afgp,0.9473684210526315,-353.5,1.0,type1,0.8421052631578947,0.10526315789473684,-78.0,19,1.0,0.8421052631578947,0.15789473684210525,0.0,0.4015039062005097,-67.5,19,1.0,0.8421052631578947,0.15789473684210525,0.0,0.41142324523447915,-25.0,19,1.0,0.7894736842105263,0.21052631578947367,0.0,0.6004484647225027,-47.0,19,1.0,0.6842105263157895,0.3157894736842105,0.0,0.25782872765266396,-353.5,19,1.0,0.9473684210526315,0.05263157894736842,0.0,1.0,0,0
P12100,AFP,63,0.015873015873015872,52.38095238095239,23.809523809523807,20.634920634920633,3.1746031746031744,7.936507936507936,0,0.0,type3,0.7142857142857143,56.5,1.0,type2,0.576271186440678,0.13801452784503632,-77.5,60,0.9523809523809523,0.4666666666666667,0.5333333333333333,0.0,0.38721095870455857,-49.0,59,0.9365079365079365,0.576271186440678,0.423728813559322,0.0,0.49224752794301285,56.5,63,1.0,0.7142857142857143,0.2857142857142857,0.0,0.5866809521062262,-33.0,56,0.8888888888888888,0.5535714285714286,0.44642857142857145,0.0,0.3936179312256743,-372.5,63,1.0,0.4126984126984127,0.5873015873015873,0.0,1.0,0,0
P12416,AFP,88,0.045454545454545456,55.68181818181818,23.863636363636363,13.636363636363635,4.545454545454546,6.8181818181818175,0,0.0,type3,0.9772727272727273,170.0,1.0,type2,0.5833333333333334,0.3939393939393939,-73.5,83,0.9431818181818182,0.42168674698795183,0.5783132530120482,0.0,0.364634231080087,-48.0,72,0.8181818181818182,0.5833333333333334,0.4166666666666667,0.0,0.3614313074997762,170.0,88,1.0,0.9772727272727273,0.022727272727272728,0.0,0.6500683236423724,-29.0,72,0.8181818181818182,0.5,0.5,0.0,0.3302491894742688,-356.5,88,1.0,0.4772727272727273,0.5227272727272727,0.0,1.0,0,0
P19606,AFP,91,0.01098901098901099,58.24175824175825,24.175824175824175,9.89010989010989,3.296703296703297,7.6923076923076925,0,0.0,type3,0.7411764705882353,92.0,0.9340659340659341,type2,0.5833333333333334,0.15784313725490196,-72.0,82,0.9010989010989011,0.45121951219512196,0.5487804878048781,0.0,0.33412790311221674,-49.5,72,0.7912087912087912,0.5833333333333334,0.4166666666666667,0.0,0.4067738423121429,92.0,85,0.9340659340659341,0.7411764705882353,0.25882352941176473,0.0,0.6701282350904969,-24.5,73,0.8021978021978022,0.5205479452054794,0.4794520547945205,0.0,0.4115425225840789,-359.5,88,0.967032967032967,0.5,0.5,0.0,1.0,0,0
P20421,AFP,33,0.030303030303030304,72.72727272727273,6.0606060606060606,21.21212121212121,0.0,6.0606060606060606,0,0.0,type1,0.9393939393939394,-47.5,1.0,type2,0.7878787878787878,0.1515151515151516,-47.5,33,1.0,0.9393939393939394,0.06060606060606061,0.0,0.29713553356857997,-53.5,33,1.0,0.7878787878787878,0.21212121212121213,0.0,0.34759621172785415,-26.0,26,0.7878787878787878,0.6153846153846154,0.38461538461538464,0.0,0.6758434292930219,-36.0,32,0.9696969696969697,0.65625,0.34375,0.0,0.3246553381585524,-351.5,33,1.0,0.7272727272727273,0.2727272727272727,0.0,1.0,0,0
P24028,AFP,66,0.015151515151515152,60.60606060606061,19.696969696969695,13.636363636363635,6.0606060606060606,9.090909090909092,0,0.0,type3,0.7301587301587301,52.0,0.9545454545454546,type2,0.5555555555555556,0.17460317460317454,-76.0,63,0.9545454545454546,0.4603174603174603,0.5396825396825397,0.0,0.3361092051776535,-50.5,63,0.9545454545454546,0.5555555555555556,0.4444444444444444,0.0,0.38681620337174294,52.0,63,0.9545454545454546,0.7301587301587301,0.2698412698412698,0.0,0.5999601849333529,-34.5,59,0.8939393939393939,0.5084745762711864,0.4915254237288136,0.0,0.3369355223177413,-357.5,66,1.0,0.5303030303030303,0.4696969696969697,0.0,1.0,0,0
P35753,AFP,134,-0.022388059701492536,54.47761194029851,23.134328358208954,17.16417910447761,5.223880597014925,8.208955223880597,0,0.0,type3,0.6235294117647059,31.5,0.6343283582089553,type2,0.5483870967741935,0.07514231499051238,-78.5,115,0.8582089552238806,0.3652173913043478,0.6347826086956522,0.0,0.2821176479474801,-51.5,93,0.6940298507462687,0.5483870967741935,0.45161290322580644,0.0,0.40249005343775734,31.5,85,0.6343283582089553,0.6235294117647059,0.3764705882352941,0.0,0.6602859801715678,-32.5,90,0.6716417910447762,0.5,0.5,0.0,0.40116398117699326,-345.0,134,1.0,0.44776119402985076,0.5522388059701493,0.0,0.9794411380435563,0,0
Q01758,AFP,175,-0.04,48.0,21.714285714285715,14.285714285714285,6.2857142857142865,5.142857142857142,0,0.0,type2,0.5614035087719298,99.0,0.9771428571428571,type3,0.47674418604651164,0.08465932272541815,-73.5,137,0.7828571428571428,0.41605839416058393,0.583941605839416,0.0,0.2815817739605375,99.0,171,0.9771428571428571,0.5614035087719298,0.43859649122807015,0.0,0.4432806770884868,-41.5,86,0.49142857142857144,0.47674418604651164,0.5232558139534884,0.0,0.6526082362160844,-47.0,106,0.6057142857142858,0.44339622641509435,0.5566037735849056,0.0,0.4081902513001926,-320.5,172,0.9828571428571429,0.43023255813953487,0.5697674418604651,0.0,1.0,0,0
Q56TU0,AFP,125,-0.056,48.0,25.6,23.200000000000003,2.4,4.0,0,0.0,type4,0.5655737704918032,74.0,0.976,type3,0.52,0.04557377049180322,-77.0,120,0.96,0.3416666666666667,0.6583333333333333,0.0,0.35341586034701183,-42.5,107,0.856,0.4766355140186916,0.5233644859813084,0.0,0.45568590311676144,-18.0,75,0.6,0.52,0.48,0.0,0.7017877775854693,74.0,122,0.976,0.5655737704918032,0.4344262295081967,0.0,0.37975672782878733,-357.0,125,1.0,0.384,0.616,0.0,0.9779608999826922,0,0
Q8JI37,AFP,124,-0.03225806451612903,47.58064516129033,29.838709677419356,20.967741935483872,0.8064516129032258,2.4193548387096775,0,0.0,type4,0.6774193548387096,122.5,1.0,type3,0.5571428571428572,0.12027649769585247,-61.5,95,0.7661290322580645,0.49473684210526314,0.5052631578947369,0.0,0.262667138013814,-49.5,88,0.7096774193548387,0.5568181818181818,0.4431818181818182,0.0,0.40077462088432286,-22.0,70,0.5645161290322581,0.5571428571428572,0.44285714285714284,0.0,0.6662011902701457,122.5,124,1.0,0.6774193548387096,0.3225806451612903,0.0,0.38235504000852866,-332.5,123,0.9919354838709677,0.4959349593495935,0.5040650406504065,0.0,1.0,0,0
C7F6X3,AFP,261,-0.034482758620689655,49.808429118773944,26.053639846743295,12.643678160919542,11.11111111111111,4.21455938697318,0,0.0,type3,0.5862068965517241,-66.5,0.3333333333333333,type4,0.584070796460177,0.0021361000915470774,-55.0,182,0.6973180076628352,0.42857142857142855,0.5714285714285714,0.0,0.3131205481208499,-61.0,148,0.5670498084291188,0.49324324324324326,0.5067567567567568,0.0,0.4396328262744706,-66.5,87,0.3333333333333333,0.5862068965517241,0.41379310344827586,0.0,0.6566012449952099,-49.5,113,0.4329501915708812,0.584070796460177,0.415929203539823,0.0,0.35473635661305764,-287.0,258,0.9885057471264368,0.41472868217054265,0.5852713178294574,0.0,0.9818868862937289,0,1
H7FWB6,AFP,276,0.0,44.20289855072464,32.608695652173914,12.318840579710146,9.420289855072465,2.898550724637681,0,0.0,type3,0.6785714285714286,-68.0,0.30434782608695654,type4,0.5245901639344263,0.15398126463700235,-70.0,172,0.6231884057971014,0.4418604651162791,0.5581395348837209,0.0,0.29431618005116866,-65.5,153,0.5543478260869565,0.49019607843137253,0.5098039215686274,0.0,0.4563434365410791,-68.0,84,0.30434782608695654,0.6785714285714286,0.32142857142857145,0.0,0.6334049104824854,-55.5,122,0.4420289855072464,0.5245901639344263,0.47540983606557374,0.0,0.37774760899406157,-276.5,262,0.9492753623188406,0.42366412213740456,0.5763358778625954,0.0,0.9964950540684943,0,1
A5XB26,AFP,253,-0.03557312252964427,48.22134387351779,26.877470355731226,13.043478260869565,10.67193675889328,4.3478260869565215,0,0.0,type3,0.6144578313253012,-65.5,0.32806324110671936,type4,0.5,0.11445783132530118,-72.0,176,0.6956521739130435,0.4090909090909091,0.5909090909090909,0.0,0.37764010311878643,-60.0,154,0.6086956521739131,0.45454545454545453,0.5454545454545454,0.0,0.45391071400474436,-65.5,83,0.32806324110671936,0.6144578313253012,0.3855421686746988,0.0,0.6511157126341898,-54.5,118,0.466403162055336,0.5,0.5,0.0,0.3884753881308389,-290.5,241,0.9525691699604744,0.43568464730290457,0.5643153526970954,0.0,0.9961896438420975,0,1
Q76CE8,AFP,243,0.0205761316872428,52.674897119341566,27.572016460905353,7.818930041152264,11.934156378600823,4.11522633744856,0,0.0,type3,0.5952380952380952,-53.0,0.345679012345679,type2,0.5072463768115942,0.087991718426501,-41.5,170,0.6995884773662552,0.4588235294117647,0.5411764705882353,0.0,0.34515429589717833,-47.5,138,0.5679012345679012,0.5072463768115942,0.4927536231884058,0.0,0.40508876780239583,-53.0,84,0.345679012345679,0.5952380952380952,0.40476190476190477,0.0,0.6443370037450388,-55.5,117,0.48148148148148145,0.48717948717948717,0.5128205128205128,0.0,0.3917956905934956,-254.0,239,0.9835390946502057,0.48535564853556484,0.5146443514644351,0.0,0.9804469316476236,0,1
O16119,AFP,112,0.0,25.892857142857146,34.82142857142857,10.714285714285714,8.035714285714286,1.7857142857142856,0,0.0,type4,0.5131578947368421,-38.0,0.6785714285714286,type3,0.46774193548387094,0.045415959252971205,-73.5,105,0.9375,0.3904761904761905,0.6095238095238096,0.0,0.3320160172082292,-52.5,98,0.875,0.4387755102040816,0.5612244897959183,0.0,0.4908648806727489,-37.0,62,0.5535714285714286,0.46774193548387094,0.532258064516129,0.0,0.7294445562771396,-38.0,76,0.6785714285714286,0.5131578947368421,0.4868421052631579,0.0,0.44014638129428046,-352.0,110,0.9821428571428571,0.43636363636363634,0.5636363636363636,0.0,0.9818181818181818,0,0
P86268,AFP,20,-0.1,60.0,5.0,10.0,20.0,0.0,1,0.05,type2,0.8,-72.5,1.0,type3,0.75,0.050000000000000044,-90.5,20,1.0,0.7,0.3,0.0,0.5773408679971592,-72.5,20,1.0,0.8,0.2,0.0,0.4408520829727552,-25.5,20,1.0,0.75,0.25,0.0,0.624511249783653,-49.0,19,0.95,0.7368421052631579,0.2631578947368421,0.0,0.40282280671389914,-381.0,20,1.0,0.55,0.45,0.0,1.0,0,0
Q086E4,AFP,892,-0.04147982062780269,43.83408071748879,36.99551569506727,9.977578475336323,8.632286995515695,3.3632286995515694,0,0.0,type3,0.8295454545454546,-341.5,0.09865470852017937,type4,0.7480314960629921,0.08151395848246246,-235.5,216,0.242152466367713,0.7037037037037037,0.2962962962962963,0.0,0.34576042507692006,-298.5,179,0.2006726457399103,0.6480446927374302,0.35195530726256985,0.0,0.45231510678224723,-341.5,88,0.09865470852017937,0.8295454545454546,0.17045454545454544,0.0,0.6500683236423724,-317.0,127,0.14237668161434977,0.7480314960629921,0.25196850393700787,0.0,0.38119704693746104,-164.5,685,0.7679372197309418,0.4145985401459854,0.5854014598540146,0.0,0.99025812651647,0,1
A0A0C5PHQ7,NON_AFP,294,0.047619047619047616,53.40136054421769,22.448979591836736,12.925170068027212,6.122448979591836,3.741496598639456,0,0.0,type3,0.6375,-87.5,0.272108843537415,type4,0.5,0.13749999999999996,-128.5,161,0.5476190476190477,0.37267080745341613,0.6273291925465838,0.0,0.25439349522653903,-85.0,145,0.4931972789115646,0.496551724137931,0.503448275862069,0.0,0.453371321550618,-87.5,80,0.272108843537415,0.6375,0.3625,0.0,0.649511249783653,-82.5,118,0.4013605442176871,0.5,0.5,0.0,0.38916779631681775,-345.5,263,0.8945578231292517,0.38022813688212925,0.6197718631178707,0.0,1.0,0,1
A0A0G2KQY6,NON_AFP,494,-0.03441295546558704,46.963562753036435,21.65991902834008,15.991902834008098,11.740890688259109,3.643724696356275,0,0.0,type3,0.7093023255813954,-163.5,0.17408906882591094,type4,0.6260162601626016,0.0832860654187938,-159.5,197,0.39878542510121456,0.4416243654822335,0.5583756345177665,0.0,0.3273372079765939,-135.5,169,0.34210526315789475,0.5680473372781065,0.4319526627218935,0.0,0.4362088261312765,-163.5,86,0.17408906882591094,0.7093023255813954,0.29069767441860467,0.0,0.6526082362160844,-154.0,123,0.24898785425101214,0.6260162601626016,0.37398373983739835,0.0,0.3753407517335043,-321.0,436,0.8825910931174089,0.32798165137614677,0.6720183486238532,0.0,0.9957876337887408,0,1
A0A0G2KTI4,NON_AFP,1136,-0.014084507042253521,48.8556338028169,20.950704225352112,19.014084507042252,7.922535211267606,4.401408450704225,0,0.0,type3,0.8863636363636364,-462.0,0.07746478873239436,type4,0.8062015503875969,0.08016208597603947,-366.5,210,0.18485915492957747,0.7142857142857143,0.2857142857142857,0.0,0.3451000825287631,-401.0,177,0.15580985915492956,0.711864406779661,0.288135593220339,0.0,0.451314688972185,-462.0,88,0.07746478873239436,0.8863636363636364,0.11363636363636363,0.0,0.6500683236423724,-424.0,129,0.11355633802816902,0.8062015503875969,0.1937984496124031,0.0,0.3830389531864928,-369.0,662,0.5827464788732394,0.38972809667673713,0.6102719033232629,0.0,0.9913068164619887,0,1
A0A0G2L7I0,NON_AFP,636,0.0330188679245283,36.94968553459119,27.20125786163522,24.056603773584907,7.547169811320755,8.80503144654088,0,0.0,type3,0.7471264367816092,-237.5,0.13679245283018868,type4,0.6428571428571429,0.10426929392446627,-232.0,211,0.33176100628930816,0.43601895734597157,0.5639810426540285,0.0,0.3537010576545977,-194.5,169,0.26572327044025157,0.6153846153846154,0.38461538461538464,0.0,0.4362088261312765,-237.5,87,0.13679245283018868,0.7471264367816092,0.25287356321839083,0.0,0.646046120465848,-217.5,126,0.19811320754716982,0.6428571428571429,0.35714285714285715,0.0,0.39086203673941694,-362.0,520,0.8176100628930818,0.3076923076923077,0.6923076923076923,0.0,0.9964680929459442,0,1
A0A0N9E2K8,NON_AFP,599,0.005008347245409015,42.07011686143572,21.535893155258766,23.87312186978297,7.178631051752922,3.5058430717863103,0,0.0,type3,0.7701149425287356,-216.0,0.14524207011686144,type4,0.6587301587301587,0.11138478379857686,-225.5,205,0.34223706176961605,0.424390243902439,0.5756097560975609,0.0,0.3288067197868888,-179.0,174,0.2904841402337229,0.5747126436781609,0.42528735632183906,0.0,0.4409154690585387,-216.0,87,0.14524207011686144,0.7701149425287356,0.22988505747126436,0.0,0.6566012449952099,-196.0,126,0.21035058430717862,0.6587301587301587,0.3412698412698413,0.0,0.3835739745643813,-388.5,489,0.8163606010016694,0.294478527607362,0.7055214723926381,0.0,0.9863534083103928,0,1
A0A0R4I9Y1,NON_AFP,5061,-0.012645722189290654,41.474016992689194,23.256273463742342,25.370480142264373,4.584074293617862,3.912270302311796,0,0.0,type3,0.9886363636363636,-2384.0,0.01738786801027465,type1,0.9770642201834863,0.011572143452877381,-2237.5,218,0.04307449120727129,0.9770642201834863,0.022935779816513763,0.0,0.3436927926720854,-2260.0,182,0.035961272475795295,0.9615384615384616,0.038461538461538464,0.0,0.4503538687583641,-2384.0,88,0.01738786801027465,0.9886363636363636,0.011363636363636364,0.0,0.6500683236423724,-2325.0,129,0.025489033787788974,0.9612403100775194,0.03875968992248062,0.0,0.3830389531864928,-1902.5,777,0.15352697095435686,0.6743886743886743,0.3256113256113256,0.0,0.9914116044578919,0,1
A0A0R4IBK5,NON_AFP,5209,-0.021117296985985794,43.61681704741793,21.86600115185256,25.53273181032828,4.050681512766366,3.8779036283355732,0,0.0,type3,1.0,-2456.5,0.016893837588788634,type4,0.9922480620155039,0.007751937984496138,-2299.5,218,0.041850643117680934,0.9678899082568807,0.03211009174311927,0.0,0.3436927926720854,-2340.0,181,0.0347475523133039,0.9392265193370166,0.06077348066298342,0.0,0.45239060744793785,-2456.5,88,0.016893837588788634,1.0,0.0,0.0,0.6500683236423724,-2391.5,129,0.024764830101746977,0.9922480620155039,0.007751937984496124,0.0,0.3830389531864928,-1960.0,777,0.14916490689191783,0.6821106821106822,0.3178893178893179,0.0,0.9914116044578919,0,1
