sequence_id,label,reviewed,afp_type,medoid_type1_id,medoid_type2_id,medoid_type3_id,medoid_type4_id,medoid_afgp_id,medoid_type1_score,medoid_type1_identity,medoid_type1_coverage,medoid_type1_gap_rate,medoid_type2_score,medoid_type2_identity,medoid_type2_coverage,medoid_type2_gap_rate,medoid_type3_score,medoid_type3_identity,medoid_type3_coverage,medoid_type3_gap_rate,medoid_type4_score,medoid_type4_identity,medoid_type4_coverage,medoid_type4_gap_rate,medoid_afgp_score,medoid_afgp_identity,medoid_afgp_coverage,medoid_afgp_gap_rate,medoid_top1_type,medoid_top1_identity,medoid_delta_top1_top2_ident,medoid_top1_type_by_score,medoid_delta_top1_top2_score
P19606,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,-38.5,0.3582089552238806,0.7362637362637363,0.0,-38.5,0.4810126582278481,0.8681318681318682,0.0,35.0,0.6721311475409836,0.6703296703296703,0.0,-26.5,0.527027027027027,0.8131868131868132,0.0,-359.5,0.5,0.967032967032967,0.0,type3,0.6721311475409836,0.1451041205139566,type3,61.5
P20421,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,4.0,0.7575757575757576,1.0,0.0,-48.5,0.7272727272727273,1.0,0.0,-24.5,0.65,0.6060606060606061,0.0,-29.0,0.7096774193548387,0.9393939393939394,0.0,-351.5,0.7272727272727273,1.0,0.0,type1,0.7575757575757576,0.030303030303030276,type1,28.5
P24028,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,-33.5,0.39215686274509803,0.7727272727272727,0.0,-41.0,0.49230769230769234,0.9848484848484849,0.0,46.0,0.6949152542372882,0.8939393939393939,0.0,-32.0,0.5081967213114754,0.9242424242424242,0.0,-357.5,0.5303030303030303,1.0,0.0,type3,0.6949152542372882,0.1646122239342579,type3,78.0
P35753,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,-48.0,0.3218390804597701,0.6492537313432836,0.0,-43.5,0.5681818181818182,0.6567164179104478,0.0,13.5,0.7586206896551724,0.43283582089552236,0.0,-30.0,0.5641025641025641,0.582089552238806,0.0,-345.0,0.44776119402985076,1.0,0.0,type3,0.7586206896551724,0.19043887147335414,type3,43.5
A0ZT93,AFP,1,type2,P07835,P05140,P19608,Q8JI37,P24856,-41.0,0.44047619047619047,0.5,0.0,170.5,0.7037037037037037,0.9642857142857143,0.0,-47.0,0.559322033898305,0.35119047619047616,0.0,-44.0,0.5052631578947369,0.5654761904761905,0.0,-329.0,0.425,0.9523809523809523,0.0,type2,0.7037037037037037,0.14438166980539868,type2,211.5
P05140,AFP,1,type2,P07835,P05140,P19608,Q8JI37,P24856,-37.0,0.4523809523809524,0.5153374233128835,0.0,326.0,1.0,1.0,0.0,-41.5,0.6071428571428571,0.34355828220858897,0.0,-37.0,0.5444444444444444,0.5521472392638037,0.0,-317.5,0.4551282051282051,0.9570552147239264,0.0,type2,1.0,0.3928571428571429,type2,363.0
Q01758,AFP,1,type2,P07835,P05140,P19608,Q8JI37,P24856,-55.0,0.42168674698795183,0.4742857142857143,0.0,39.5,0.47435897435897434,0.8914285714285715,0.0,-46.0,0.576271186440678,0.33714285714285713,0.0,-35.5,0.5050505050505051,0.5657142857142857,0.0,-320.5,0.4418604651162791,0.9828571428571429,0.0,type3,0.576271186440678,0.0712206813901729,type2,75.0
P19614,AFP,1,type3,P07835,P05140,P19608,Q8JI37,P24856,-35.0,0.375,0.8484848484848485,0.0,-50.0,0.46153846153846156,0.9848484848484849,0.0,46.0,0.6949152542372882,0.8939393939393939,0.0,-36.5,0.48333333333333334,0.9090909090909091,0.0,-365.0,0.5,1.0,0.0,type3,0.6949152542372882,0.19491525423728817,type3,81.0
P12416,AFP,1,type3,P07835,P05140,P19608,Q8JI37,P24856,-34.0,0.5,0.5909090909090909,0.0,-41.5,0.6060606060606061,0.75,0.0,81.5,0.84375,0.7272727272727273,0.0,-22.0,0.5571428571428572,0.7954545454545454,0.0,-356.5,0.4772727272727273,1.0,0.0,type3,0.84375,0.23768939393939392,type3,103.5
P19608,AFP,1,type3,P07835,P05140,P19608,Q8JI37,P24856,-31.0,0.4782608695652174,0.71875,0.0,-41.5,0.6071428571428571,0.875,0.0,128.0,1.0,1.0,0.0,-32.5,0.543859649122807,0.890625,0.0,-367.0,0.4918032786885246,0.953125,0.0,type3,1.0,0.3928571428571429,type3,159.0
P80961,AFP,1,type4,P07835,P05140,P19608,Q8JI37,P24856,-37.5,0.36363636363636365,0.6875,0.0,-37.5,0.550561797752809,0.6953125,0.0,-31.5,0.5357142857142857,0.4375,0.0,91.5,0.5887096774193549,0.96875,0.0,-342.0,0.4453125,1.0,0.0,type4,0.5887096774193549,0.03814787966654587,type4,123.0
Q56TU0,AFP,1,type4,P07835,P05140,P19608,Q8JI37,P24856,-48.0,0.36486486486486486,0.592,0.0,-42.0,0.5212765957446809,0.752,0.0,-33.0,0.5576923076923077,0.416,0.0,37.5,0.5221238938053098,0.904,0.0,-358.5,0.392,1.0,0.0,type3,0.5576923076923077,0.03556841388699794,type4,70.5
Q8JI37,AFP,1,type4,P07835,P05140,P19608,Q8JI37,P24856,-31.0,0.4696969696969697,0.532258064516129,0.0,-37.0,0.5444444444444444,0.7258064516129032,0.0,-32.5,0.5084745762711864,0.47580645161290325,0.0,248.0,1.0,1.0,0.0,-332.5,0.4959349593495935,0.9919354838709677,0.0,type4,1.0,0.4555555555555556,type4,279.0
P24856,AFP,1,afgp,P07835,P05140,P19608,Q8JI37,P24856,-268.0,0.8021978021978022,0.11518987341772152,0.0,-317.5,0.4551282051282051,0.19746835443037974,0.0,-367.0,0.4918032786885246,0.07721518987341772,0.0,-332.5,0.4959349593495935,0.15569620253164557,0.0,1580.0,1.0,1.0,0.0,afgp,1.0,0.19780219780219777,afgp,1848.0
P02732,AFP,1,afgp,P07835,P05140,P19608,Q8JI37,P24856,12.5,0.8709677419354839,1.0,0.0,-44.5,0.7741935483870968,1.0,0.0,-20.5,0.43333333333333335,0.967741935483871,0.0,-29.5,0.7096774193548387,1.0,0.0,-325.0,1.0,1.0,0.0,afgp,1.0,0.12903225806451613,type1,33.0
P11920,AFP,1,afgp,P07835,P05140,P19608,Q8JI37,P24856,-13.0,0.8421052631578947,1.0,0.0,-56.5,0.8947368421052632,1.0,0.0,-14.5,0.7222222222222222,0.9473684210526315,0.0,-40.0,0.8421052631578947,1.0,0.0,-353.5,0.9473684210526315,1.0,0.0,afgp,0.9473684210526315,0.05263157894736836,type1,1.5
AAA49466.1,AFP,0,type1,P07835,P05140,P19608,Q8JI37,P24856,120.5,0.9342105263157895,0.926829268292683,0.0,-37.0,0.4864864864864865,0.9024390243902439,0.0,-31.0,0.3389830508474576,0.7195121951219512,0.0,-32.5,0.5614035087719298,0.6951219512195121,0.0,-292.0,0.7682926829268293,1.0,0.0,type1,0.9342105263157895,0.1659178433889602,type1,151.5
CAB1434902.1,AFP,0,type1,P07835,P05140,P19608,Q8JI37,P24856,62.0,0.8571428571428571,0.41935483870967744,0.0,-61.0,0.38028169014084506,0.6543778801843319,0.0,-83.5,0.45161290322580644,0.2857142857142857,0.0,-64.0,0.35537190082644626,0.5576036866359447,0.0,-82.0,0.8248847926267281,1.0,0.0,type1,0.8571428571428571,0.032258064516129004,type1,123.0
UUW46946.1,AFP,0,type1,P07835,P05140,P19608,Q8JI37,P24856,145.5,0.9340659340659341,0.7844827586206896,0.0,-42.0,0.4158415841584158,0.8706896551724138,0.0,-42.0,0.4339622641509434,0.45689655172413796,0.0,-31.5,0.4691358024691358,0.6982758620689655,0.0,-222.0,0.8189655172413793,1.0,0.0,type1,0.9340659340659341,0.11510041682455474,type1,177.0
UUW46969.1,AFP,0,type1,P07835,P05140,P19608,Q8JI37,P24856,114.5,0.8160919540229885,0.9560439560439561,0.0,-40.0,0.5066666666666667,0.8241758241758241,0.0,-32.5,0.45652173913043476,0.5054945054945055,0.0,-28.0,0.55,0.6593406593406593,0.0,-287.5,0.7362637362637363,1.0,0.0,type1,0.8160919540229885,0.0798282177592522,type1,142.5
UUW46948.1,AFP,0,type1,P07835,P05140,P19608,Q8JI37,P24856,61.5,0.8555555555555555,0.41284403669724773,0.0,-78.0,0.35507246376811596,0.6330275229357798,0.0,-87.0,0.4126984126984127,0.2889908256880734,0.0,-66.0,0.39285714285714285,0.5137614678899083,0.0,-73.5,0.8341013824884793,0.9954128440366973,0.0,type1,0.8555555555555555,0.0214541730670762,type1,127.5
2ZIB_A,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-40.0,0.3855421686746988,0.6240601503759399,0.0,101.0,0.6439393939393939,0.9924812030075187,0.0,-40.0,0.45161290322580644,0.46616541353383456,0.0,-46.0,0.4111111111111111,0.6766917293233082,0.0,-347.5,0.424,0.9398496240601504,0.0,type2,0.6439393939393939,0.19232649071358748,type2,141.0
AAA49617.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-45.5,0.5,0.4307692307692308,0.0,308.5,1.0,0.8358974358974359,0.0,-54.5,0.6101694915254238,0.30256410256410254,0.0,-50.0,0.5543478260869565,0.4717948717948718,0.0,-305.0,0.4397905759162304,0.9794871794871794,0.0,type2,1.0,0.38983050847457623,type2,354.0
XP_068447920.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-50.0,0.45569620253164556,0.47023809523809523,0.0,92.5,0.55625,0.9523809523809523,0.0,-50.0,0.5925925925925926,0.32142857142857145,0.0,-42.5,0.4380952380952381,0.625,0.0,-329.0,0.44242424242424244,0.9821428571428571,0.0,type3,0.5925925925925926,0.03634259259259254,type2,135.0
XP_054460803.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-64.0,0.35802469135802467,0.47928994082840237,0.0,92.0,0.5632911392405063,0.9349112426035503,0.0,-43.0,0.660377358490566,0.3136094674556213,0.0,-40.0,0.5813953488372093,0.5088757396449705,0.0,-356.5,0.3674698795180723,0.9822485207100592,0.0,type3,0.660377358490566,0.07898200965335667,type2,132.0
XP_061535133.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-67.0,0.4868421052631579,0.37623762376237624,0.0,39.5,0.4936708860759494,0.7821782178217822,0.0,-64.0,0.5166666666666667,0.297029702970297,0.0,-43.0,0.47706422018348627,0.5396039603960396,0.0,-332.5,0.45604395604395603,0.900990099009901,0.0,type3,0.5166666666666667,0.02299578059071733,type2,82.5
XP_061627950.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-68.0,0.4657534246575342,0.3862433862433862,0.0,43.0,0.541095890410959,0.7724867724867724,0.0,-60.5,0.5517241379310345,0.30687830687830686,0.0,-41.0,0.4594594594594595,0.5873015873015873,0.0,-336.5,0.45977011494252873,0.9206349206349206,0.0,type3,0.5517241379310345,0.010628247520075518,type2,84.0
XP_054636829.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-43.0,0.47368421052631576,0.4935064935064935,0.0,66.5,0.5405405405405406,0.961038961038961,0.0,-44.5,0.5254237288135594,0.38311688311688313,0.0,-34.0,0.5052631578947369,0.6168831168831169,0.0,-341.5,0.40131578947368424,0.987012987012987,0.0,type2,0.5405405405405406,0.015116811726981205,type2,100.5
XP_044047079.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-56.0,0.42857142857142855,0.4666666666666667,0.0,77.5,0.5584415584415584,0.9333333333333333,0.0,-42.5,0.6181818181818182,0.3333333333333333,0.0,-35.0,0.5425531914893617,0.5696969696969697,0.0,-338.0,0.41818181818181815,1.0,0.0,type3,0.6181818181818182,0.05974025974025976,type2,112.5
XP_061833252.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-64.0,0.4777777777777778,0.40358744394618834,0.0,29.0,0.5263157894736842,0.6816143497757847,0.0,-70.0,0.5161290322580645,0.27802690582959644,0.0,-56.5,0.4864864864864865,0.4977578475336323,0.0,-335.5,0.3933649289099526,0.9461883408071748,0.0,type2,0.5263157894736842,0.01018675721561968,type2,85.5
XP_061621222.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-46.5,0.37209302325581395,0.6013986013986014,0.0,55.5,0.5177304964539007,0.986013986013986,0.0,-45.0,0.46551724137931033,0.40559440559440557,0.0,-36.0,0.46808510638297873,0.6573426573426573,0.0,-334.5,0.43661971830985913,0.993006993006993,0.0,type2,0.5177304964539007,0.049645390070921946,type2,91.5
XP_046269528.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-70.0,0.4246575342465753,0.42441860465116277,0.0,44.0,0.4810126582278481,0.9186046511627907,0.0,-52.0,0.49206349206349204,0.36627906976744184,0.0,-29.5,0.5408163265306123,0.5697674418604651,0.0,-347.5,0.4409937888198758,0.936046511627907,0.0,type4,0.5408163265306123,0.048752834467120254,type2,73.5
XP_061763159.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-61.5,0.5526315789473685,0.35348837209302325,0.0,30.0,0.54,0.6976744186046512,0.0,-61.5,0.6727272727272727,0.2558139534883721,0.0,-55.5,0.4818181818181818,0.5116279069767442,0.0,-328.5,0.40487804878048783,0.9534883720930233,0.0,type3,0.6727272727272727,0.12009569377990426,type2,85.5
XP_031419361.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-55.0,0.44,0.4601226993865031,0.0,38.0,0.4605263157894737,0.9325153374233128,0.0,-47.5,0.559322033898305,0.3619631901840491,0.0,-38.5,0.45098039215686275,0.6257668711656442,0.0,-332.5,0.4233128834355828,1.0,0.0,type3,0.559322033898305,0.09879571810883137,type2,76.5
XP_057700448.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-45.0,0.4230769230769231,0.5454545454545454,0.0,51.0,0.4965034965034965,1.0,0.0,-43.5,0.4426229508196721,0.42657342657342656,0.0,-33.0,0.48936170212765956,0.6573426573426573,0.0,-348.0,0.41843971631205673,0.986013986013986,0.0,type2,0.4965034965034965,0.007141794375836952,type2,84.0
ABA41369.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-51.5,0.43661971830985913,0.48299319727891155,0.0,38.5,0.46853146853146854,0.9727891156462585,0.0,-42.5,0.6274509803921569,0.3469387755102041,0.0,-39.5,0.4782608695652174,0.6258503401360545,0.0,-339.5,0.4236111111111111,0.9795918367346939,0.0,type3,0.6274509803921569,0.14919011082693945,type2,78.0
XP_063740007.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-57.0,0.4,0.4748603351955307,0.0,54.0,0.5394736842105263,0.8491620111731844,0.0,-54.0,0.5344827586206896,0.3240223463687151,0.0,-42.0,0.5,0.547486033519553,0.0,-351.0,0.40606060606060607,0.9217877094972067,0.0,type2,0.5394736842105263,0.004990925589836714,type2,96.0
XP_033465981.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-72.5,0.43478260869565216,0.40350877192982454,0.0,53.5,0.5298013245033113,0.8830409356725146,0.0,-54.5,0.5245901639344263,0.3567251461988304,0.0,-42.5,0.49504950495049505,0.5906432748538012,0.0,-354.5,0.3567251461988304,1.0,0.0,type2,0.5298013245033113,0.005211160568885043,type2,96.0
XP_057700241.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-45.5,0.4861111111111111,0.47058823529411764,0.0,61.0,0.5202702702702703,0.9673202614379085,0.0,-39.5,0.46875,0.41830065359477125,0.0,-27.5,0.43636363636363634,0.7189542483660131,0.0,-333.5,0.46,0.9803921568627451,0.0,type2,0.5202702702702703,0.03415915915915918,type2,88.5
XP_031159861.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-68.5,0.40789473684210525,0.42696629213483145,0.0,51.5,0.5503355704697986,0.8370786516853933,0.0,-53.5,0.5172413793103449,0.3258426966292135,0.0,-44.5,0.46226415094339623,0.5955056179775281,0.0,-364.0,0.33714285714285713,0.9831460674157303,0.0,type2,0.5503355704697986,0.03309419115945378,type2,96.0
XP_051259047.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-71.0,0.358974358974359,0.43333333333333335,0.0,52.0,0.5159235668789809,0.8722222222222222,0.0,-63.5,0.5454545454545454,0.3055555555555556,0.0,-39.5,0.53125,0.5333333333333333,0.0,-363.5,0.3485714285714286,0.9722222222222222,0.0,type3,0.5454545454545454,0.014204545454545414,type2,91.5
XP_039678987.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-64.0,0.375,0.449438202247191,0.0,39.5,0.49673202614379086,0.8595505617977528,0.0,-49.0,0.5964912280701754,0.3202247191011236,0.0,-35.5,0.49056603773584906,0.5955056179775281,0.0,-359.5,0.37349397590361444,0.9325842696629213,0.0,type3,0.5964912280701754,0.09975920192638454,type2,75.0
XP_046888508.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-61.5,0.5211267605633803,0.3901098901098901,0.0,31.5,0.47435897435897434,0.8571428571428571,0.0,-52.5,0.559322033898305,0.3241758241758242,0.0,-48.0,0.49,0.5494505494505495,0.0,-328.5,0.4134078212290503,0.9835164835164835,0.0,type3,0.559322033898305,0.038195273334924784,type2,79.5
XP_057939647.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-50.5,0.44776119402985076,0.43506493506493504,0.0,65.0,0.52,0.974025974025974,0.0,-49.0,0.45901639344262296,0.3961038961038961,0.0,-37.0,0.5280898876404494,0.577922077922078,0.0,-341.5,0.42105263157894735,0.987012987012987,0.0,type4,0.5280898876404494,0.008089887640449378,type2,102.0
XP_075948412.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-66.0,0.39473684210526316,0.4393063583815029,0.0,52.5,0.5333333333333333,0.8670520231213873,0.0,-54.0,0.5357142857142857,0.3236994219653179,0.0,-49.5,0.4842105263157895,0.5491329479768786,0.0,-372.0,0.3216374269005848,0.9884393063583815,0.0,type3,0.5357142857142857,0.0023809523809523725,type2,102.0
XP_023255129.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-61.5,0.37349397590361444,0.48823529411764705,0.0,36.0,0.4934210526315789,0.8941176470588236,0.0,-51.0,0.5333333333333333,0.35294117647058826,0.0,-33.0,0.5047619047619047,0.6176470588235294,0.0,-342.0,0.3764705882352941,1.0,0.0,type3,0.5333333333333333,0.02857142857142858,type2,69.0
XP_061883226.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-56.5,0.38271604938271603,0.5364238410596026,0.0,48.5,0.4965986394557823,0.9735099337748344,0.0,-46.0,0.5263157894736842,0.37748344370860926,0.0,-40.0,0.5421686746987951,0.5496688741721855,0.0,-334.0,0.44370860927152317,1.0,0.0,type4,0.5421686746987951,0.01585288522511097,type2,88.5
XP_057700447.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-45.5,0.44871794871794873,0.5098039215686274,0.0,53.5,0.5102040816326531,0.9607843137254902,0.0,-38.0,0.46875,0.41830065359477125,0.0,-39.5,0.45918367346938777,0.6405228758169934,0.0,-332.0,0.47297297297297297,0.9673202614379085,0.0,type2,0.5102040816326531,0.0372311086596801,type2,91.5
WP_368669085.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-65.5,0.3972602739726027,0.4397590361445783,0.0,57.5,0.48125,0.963855421686747,0.0,-43.0,0.5666666666666667,0.3614457831325301,0.0,-40.0,0.48514851485148514,0.608433734939759,0.0,-344.5,0.422360248447205,0.9698795180722891,0.0,type3,0.5666666666666667,0.08151815181518152,type2,97.5
XP_030608951.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-61.5,0.45714285714285713,0.4046242774566474,0.0,27.0,0.48322147651006714,0.861271676300578,0.0,-54.0,0.5409836065573771,0.35260115606936415,0.0,-33.0,0.4864864864864865,0.6416184971098265,0.0,-357.0,0.34104046242774566,1.0,0.0,type3,0.5409836065573771,0.05449712007089058,type2,60.0
XP_067101371.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-55.0,0.42168674698795183,0.4742857142857143,0.0,39.5,0.47435897435897434,0.8914285714285715,0.0,-46.0,0.576271186440678,0.33714285714285713,0.0,-35.5,0.5050505050505051,0.5657142857142857,0.0,-320.5,0.4418604651162791,0.9828571428571429,0.0,type3,0.576271186440678,0.0712206813901729,type2,75.0
XP_070710716.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-66.5,0.3780487804878049,0.47953216374269003,0.0,44.5,0.5131578947368421,0.8888888888888888,0.0,-50.0,0.5645161290322581,0.36257309941520466,0.0,-45.5,0.5494505494505495,0.5321637426900585,0.0,-359.0,0.34502923976608185,1.0,0.0,type3,0.5645161290322581,0.015065579581708621,type2,90.0
XP_027143461.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-61.5,0.4177215189873418,0.4647058823529412,0.0,42.0,0.48717948717948717,0.9176470588235294,0.0,-55.5,0.55,0.35294117647058826,0.0,-48.0,0.44554455445544555,0.5941176470588235,0.0,-343.5,0.425,0.9411764705882353,0.0,type3,0.55,0.06282051282051287,type2,90.0
XP_044198199.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-66.5,0.43478260869565216,0.39655172413793105,0.0,26.5,0.45454545454545453,0.8850574712643678,0.0,-62.0,0.48333333333333334,0.3448275862068966,0.0,-39.5,0.5263157894736842,0.5459770114942529,0.0,-366.5,0.3433734939759036,0.9540229885057471,0.0,type4,0.5263157894736842,0.042982456140350844,type2,66.0
XP_044050272.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-67.5,0.3218390804597701,0.5117647058823529,0.0,37.5,0.477124183006536,0.9,0.0,-55.5,0.5,0.35294117647058826,0.0,-43.5,0.47474747474747475,0.5823529411764706,0.0,-355.5,0.37575757575757573,0.9705882352941176,0.0,type3,0.5,0.022875816993464027,type2,81.0
XP_061883222.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-60.5,0.5466666666666666,0.36231884057971014,0.0,34.0,0.5231788079470199,0.7294685990338164,0.0,-63.5,0.515625,0.30917874396135264,0.0,-51.5,0.5204081632653061,0.47342995169082125,0.0,-324.5,0.4097560975609756,0.9903381642512077,0.0,type1,0.5466666666666666,0.02348785871964676,type2,85.5
GLD68118.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-63.0,0.4235294117647059,0.4187192118226601,0.0,39.0,0.532051282051282,0.7684729064039408,0.0,-69.0,0.5079365079365079,0.3103448275862069,0.0,-49.5,0.5612244897959183,0.4827586206896552,0.0,-340.5,0.38341968911917096,0.9507389162561576,0.0,type4,0.5612244897959183,0.029173207744636276,type2,88.5
XP_042258154.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-61.5,0.36470588235294116,0.5182926829268293,0.0,48.0,0.5033557046979866,0.9085365853658537,0.0,-54.0,0.5471698113207547,0.3231707317073171,0.0,-45.0,0.5056179775280899,0.5426829268292683,0.0,-352.5,0.391025641025641,0.9512195121951219,0.0,type3,0.5471698113207547,0.041551833792664805,type2,93.0
XP_026018292.1,AFP,0,type2,P07835,P05140,P19608,Q8JI37,P24856,-57.0,0.375,0.5063291139240507,0.0,46.5,0.5,0.9367088607594937,0.0,-52.5,0.47540983606557374,0.3860759493670886,0.0,-46.5,0.4056603773584906,0.6708860759493671,0.0,-363.0,0.34810126582278483,1.0,0.0,type2,0.5,0.024590163934426257,type2,93.0
