Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
A0A0R4IVA4	reviewed	CC14A_DANRE	Dual specificity protein phosphatase CDC14AB (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog AB)	cdc14ab	Danio rerio (Zebrafish) (Brachydanio rerio)	611	Inferred from homology
A0A0R4IVV0	reviewed	MTP_DANRE	Microsomal triglyceride transfer protein large subunit	mttp mtp	Danio rerio (Zebrafish) (Brachydanio rerio)	884	Evidence at protein level
A0A0R4IXF6	reviewed	KAT2A_DANRE	Histone acetyltransferase KAT2A (EC 2.3.1.48) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A)	kat2a	Danio rerio (Zebrafish) (Brachydanio rerio)	795	Evidence at transcript level
A0A0R4IY06	reviewed	PLAT1_DANRE	Phospholipase A and acyltransferase 1 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4)	plaat1 hrasls zgc:92715	Danio rerio (Zebrafish) (Brachydanio rerio)	179	Evidence at protein level
A0A0R4IZ84	reviewed	EST1A_DANRE	Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog)	smg6 est1a	Danio rerio (Zebrafish) (Brachydanio rerio)	1544	Evidence at transcript level
A0A193KX02	reviewed	TOMT_DANRE	Transmembrane O-methyltransferase homolog (EC 2.1.1.6) (Protein mercury)	tomt mrc	Danio rerio (Zebrafish) (Brachydanio rerio)	259	Evidence at transcript level
A0A1D5NS60	reviewed	ZN16L_DANRE	Zinc finger protein 16-like (Zinc finger protein 697-like)	znf16l znf697l si:ch211-108m2.2	Danio rerio (Zebrafish) (Brachydanio rerio)	528	Evidence at protein level
A0A1D5NSM8	reviewed	SVEP1_DANRE	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)	svep1	Danio rerio (Zebrafish) (Brachydanio rerio)	3615	Evidence at protein level
A0A1S3PBB7	reviewed	KNG_SALSA	Kininogen [Cleaved into: Bradykinin]	LOC106584303	Salmo salar (Atlantic salmon)	375	Evidence at protein level
A0A1Z2R986	reviewed	EGLN_DANRE	Endoglin	eng	Danio rerio (Zebrafish) (Brachydanio rerio)	559	Evidence at transcript level
A0A286Y9D1	reviewed	PHF14_DANRE	PHD finger protein 14	phf14	Danio rerio (Zebrafish) (Brachydanio rerio)	914	Evidence at protein level
A0A2R8Q1W5	reviewed	KEP1B_DANRE	Kelch-like ECH-associated protein 1B	keap1b	Danio rerio (Zebrafish) (Brachydanio rerio)	587	Evidence at protein level
A0A2R8QCI3	reviewed	DAPLE_DANRE	Protein Daple (Coiled-coil domain-containing protein 88C)	ccdc88c	Danio rerio (Zebrafish) (Brachydanio rerio)	2023	Evidence at transcript level
A0A2R8QF68	reviewed	GRIK2_DANRE	Glutamate receptor ionotropic, kainate 2 (GluK2)	grik2	Danio rerio (Zebrafish) (Brachydanio rerio)	908	Inferred from homology
A0A2R9YJI3	reviewed	GPR22_DANRE	G-protein coupled receptor 22	gpr22a	Danio rerio (Zebrafish) (Brachydanio rerio)	460	Evidence at transcript level
A0A386CAB9	reviewed	NLRP1_DANRE	NACHT, LRR and PYD domains-containing protein 1 homolog (EC 3.4.-.-) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1, C-terminus (NLRP1-CT); NACHT, LRR and PYD domains-containing protein 1, N-terminus (NLRP1-NT)]	nlrp1 si:ch211-66k16.28	Danio rerio (Zebrafish) (Brachydanio rerio)	1355	Evidence at protein level
A0A8M1NHK4	reviewed	RBM47_DANRE	RNA-binding protein 47 (RNA-binding motif protein 47)	rbm47 si:ch211-241e15.2	Danio rerio (Zebrafish) (Brachydanio rerio)	600	Evidence at protein level
A0A8M2BID5	reviewed	DESPA_DANRE	Desmoplakin-A (Desmoplakin isoform X2)	dspa	Danio rerio (Zebrafish) (Brachydanio rerio)	2059	Evidence at transcript level
A0A8M3B525	reviewed	BRCC3_DANRE	Lys-63-specific deubiquitinase (EC 3.4.19.-)	brcc3	Danio rerio (Zebrafish) (Brachydanio rerio)	287	Evidence at protein level
A0A8M9PDM1	reviewed	SACA6_DANRE	Sperm acrosome membrane-associated protein 6	spaca6	Danio rerio (Zebrafish) (Brachydanio rerio)	317	Evidence at protein level
A0A8M9PFP2	reviewed	CSTN3_DANRE	Calsyntenin-3	clstn3	Danio rerio (Zebrafish) (Brachydanio rerio)	956	Evidence at protein level
A0A8M9PQ61	reviewed	DESPB_DANRE	Desmoplakin-B (Desmoplakin isoform X1)	dspb	Danio rerio (Zebrafish) (Brachydanio rerio)	2207	Evidence at transcript level
A0JMD4	reviewed	TPC2_DANRE	Two pore channel protein 2 (Two pore calcium channel protein 2) (Voltage-dependent calcium channel protein TPC2)	tpcn2 tpc2 zgc:152898	Danio rerio (Zebrafish) (Brachydanio rerio)	774	Evidence at transcript level
A0JMQ9	reviewed	ZRN1B_DANRE	Ubiquitin thioesterase zranb1-B (EC 3.4.19.12) (Zinc finger Ran-binding domain-containing protein 1-B)	zranb1b zranb1 zgc:154177	Danio rerio (Zebrafish) (Brachydanio rerio)	716	Evidence at transcript level
A0JPF9	reviewed	ISPD_DANRE	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein)	crppa ispd zgc:154151	Danio rerio (Zebrafish) (Brachydanio rerio)	462	Evidence at transcript level
A0MGZ7	reviewed	H6S3B_DANRE	Heparan-sulfate 6-O-sulfotransferase 3-B (HS 6-OST-3-B) (EC 2.8.2.-)	hs6st3b	Danio rerio (Zebrafish) (Brachydanio rerio)	419	Evidence at protein level
A0MSJ1	reviewed	CRA1B_DANRE	Collagen alpha-1(XXVII) chain B	col27a1b col27a1	Danio rerio (Zebrafish) (Brachydanio rerio)	1658	Evidence at transcript level
A0MTA1	reviewed	APEX1_DANRE	DNA repair nuclease APEX1 (EC 3.1.11.2) (EC 3.1.21.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (zAP1)	apex1 apex1a apex1b si:ch211-214j24.12 zgc:66204	Danio rerio (Zebrafish) (Brachydanio rerio)	310	Evidence at protein level
A0T2N3	reviewed	APJB_DANRE	Apelin receptor B (Angiotensin II receptor-like 1b) (Angiotensin receptor-like 1b) (G-protein coupled receptor APJ B) (Protein grinch)	aplnrb agtrl1b grn zgc:114063	Danio rerio (Zebrafish) (Brachydanio rerio)	359	Evidence at protein level
A1A5H8	reviewed	YES_DANRE	Tyrosine-protein kinase yes (EC 2.7.10.2) (p61-Yes)	yes1 yes	Danio rerio (Zebrafish) (Brachydanio rerio)	546	Evidence at protein level
A1L1N5	reviewed	HN1BA_DANRE	Hepatocyte nuclear factor 1-beta-A (HNF-1-beta-A) (HNF-1B-A) (Hepatocyte nuclear factor 1-beta-2) (HNF-1B-2) (Transcription factor 2) (TCF-2) (Variant hepatic nuclear factor 1) (vHNF1)	hnf1ba hnf1b tcf2	Danio rerio (Zebrafish) (Brachydanio rerio)	559	Evidence at transcript level
A1L1V4	reviewed	LOL2B_DANRE	Lysyl oxidase homolog 2B (EC 1.4.3.13) (Lysyl oxidase-like protein 2B)	loxl2b si:dkeyp-32b1.1 zgc:158414	Danio rerio (Zebrafish) (Brachydanio rerio)	762	Evidence at transcript level
A1L259	reviewed	URAD_DANRE	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97) (Parahox neighbor) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase)	urad prhoxnb zgc:158663	Danio rerio (Zebrafish) (Brachydanio rerio)	174	Evidence at protein level
A1L2G3	reviewed	BAP1_DANRE	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1)	bap1 si:dkey-42i9.9	Danio rerio (Zebrafish) (Brachydanio rerio)	755	Evidence at transcript level
A1YB07	reviewed	AML2A_DANRE	Angiomotin-like 2a	amotl2a amotl2	Danio rerio (Zebrafish) (Brachydanio rerio)	721	Evidence at protein level
A1Z0M0	reviewed	HEPC_LARCR	Hepcidin	hamp	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	85	Evidence at protein level
A2BGM5	reviewed	FOXN4_DANRE	Forkhead box protein N4	foxn4 sli slipjig	Danio rerio (Zebrafish) (Brachydanio rerio)	550	Evidence at protein level
A2BIE7	reviewed	TAPT1_DANRE	Transmembrane anterior posterior transformation protein 1 homolog	tapt1 tapt1b si:dkey-92j12.3	Danio rerio (Zebrafish) (Brachydanio rerio)	567	Evidence at transcript level
A2BIL7	reviewed	BAZ1B_DANRE	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor homolog)	baz1b wstf ch211-203b8.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1536	Evidence at protein level
A2CEH0	reviewed	POC1B_DANRE	POC1 centriolar protein homolog B (WD repeat domain 51B)	poc1b tuwd12 wdr51b si:dkey-164B12.2	Danio rerio (Zebrafish) (Brachydanio rerio)	490	Evidence at transcript level
A2CEI6	reviewed	PIWL2_DANRE	Piwi-like protein 2 (EC 3.1.26.-)	piwil2 zili si:dkey-88f5.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1046	Evidence at protein level
A2SWM2	reviewed	SPNS2_DANRE	Sphingosine-1-phosphate transporter SPNS2 (Protein spinster homolog 2) (Protein two of hearts)	spns2 toh	Danio rerio (Zebrafish) (Brachydanio rerio)	504	Evidence at protein level
A2T928	reviewed	RARGB_DANRE	Retinoic acid receptor gamma-B (RAR-gamma-B) (Nuclear receptor subfamily 1 group B member 3-B)	rargb nr1b3b	Danio rerio (Zebrafish) (Brachydanio rerio)	489	Evidence at transcript level
A3KNA7	reviewed	SRBP2_DANRE	Sterol regulatory element-binding protein 2 (SREBP-2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2 (Transcription factor SREBF2)]	srebf2 SREBP2 zgc:158371	Danio rerio (Zebrafish) (Brachydanio rerio)	1099	Evidence at protein level
A3KNL5	reviewed	ATF1A_DANRE	ATPase inhibitor A, mitochondrial (ATP synthase F1 subunit epsilon A) (Inhibitor of F(1)F(o)-ATPase A) (IF(1) A) (IF1 A) (Protein pinotage)	atp5if1a atpia atpif1 pnt Zgc:162207	Danio rerio (Zebrafish) (Brachydanio rerio)	105	Inferred from homology
A3KPA0	reviewed	JAM3B_DANRE	Junctional adhesion molecule 3B (Jam3b) (Junctional adhesion molecule C) (JAM-C)	jam3b jamc	Danio rerio (Zebrafish) (Brachydanio rerio)	302	Evidence at protein level
A3KPA3	reviewed	NAA60_DANRE	N-alpha-acetyltransferase 60 (EC 2.3.1.259) (Histone acetyltransferase type B protein 4) (HAT4) (EC 2.3.1.48) (N-acetyltransferase 15) (N-alpha-acetyltransferase F) (NatF)	naa60 nat15 zgc:163109	Danio rerio (Zebrafish) (Brachydanio rerio)	242	Evidence at transcript level
A3KPP3	reviewed	MOG1_DANRE	Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1)	rangrf mog1	Danio rerio (Zebrafish) (Brachydanio rerio)	183	Evidence at transcript level
A3KPQ7	reviewed	CEIP2_DANRE	Cell surface hyaluronidase (EC 3.2.1.35) (Cell migration-inducing hyaluronidase 2) (Protein frozen ventricle) (Protein wickham) (Transmembrane protein 2)	cemip2 frv tmem2 wkm si:dkey-24k20.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1378	Evidence at protein level
A3KPW9	reviewed	BAG6_DANRE	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	Bag6 Bat3 si:ch211-215a10.6	Danio rerio (Zebrafish) (Brachydanio rerio)	1160	Inferred from homology
A3KQ86	reviewed	PLLP_DANRE	Plasmolipin (Plasma membrane proteolipid)	pllp si:dkey-73n10.4	Danio rerio (Zebrafish) (Brachydanio rerio)	173	Evidence at transcript level
A3KQH2	reviewed	DRC9_DANRE	Dynein regulatory complex protein 9 (IQ domain-containing protein G)	iqcg drc9 si:ch211-222m18.3	Danio rerio (Zebrafish) (Brachydanio rerio)	346	Evidence at protein level
A3QJU3	reviewed	COQ8B_DANRE	Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)	coq8b adck4	Danio rerio (Zebrafish) (Brachydanio rerio)	624	Inferred from homology
A4IG62	reviewed	SUV3_DANRE	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)	supv3l1	Danio rerio (Zebrafish) (Brachydanio rerio)	763	Evidence at transcript level
A5D8S5	reviewed	SH3R1_DANRE	E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (Protein POSH) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1)	sh3rf1 posh si:dkey-15j16.4	Danio rerio (Zebrafish) (Brachydanio rerio)	867	Evidence at transcript level
A5HAK0	reviewed	RNSL3_DANRE	Ribonuclease-like 3 (RNase ZF-3) (RNase-like 3) (ZF-RNase-3) (EC 3.1.27.-) (Dr-RNase 1) [Cleaved into: N-terminal peptide; LF-ZF3]	rnasel3	Danio rerio (Zebrafish) (Brachydanio rerio)	149	Evidence at protein level
A5PL98	reviewed	SDHB_DANRE	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip) (Malate dehydrogenase [quinone] iron-sulfur subunit) (EC 1.1.5.-)	sdhb	Danio rerio (Zebrafish) (Brachydanio rerio)	280	Evidence at transcript level
A5PN09	reviewed	UBP20_DANRE	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20)	usp20 dkey-125i20.3	Danio rerio (Zebrafish) (Brachydanio rerio)	911	Inferred from homology
A5PN28	reviewed	OTO1A_DANRE	Otolin-1-A (zOtolin1)	otol1a otol1 si:dkey-119f1.2	Danio rerio (Zebrafish) (Brachydanio rerio)	489	Evidence at protein level
A5WVX9	reviewed	ZDH17_DANRE	Palmitoyltransferase ZDHHC17 (EC 2.3.1.225) (Acyltransferase ZDHHC17) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 17) (Zinc finger DHHC domain-containing protein 17)	zdhhc17 dhhc17	Danio rerio (Zebrafish) (Brachydanio rerio)	620	Evidence at transcript level
A7MBL8	reviewed	PKN2_DANRE	Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2)	pkn2 prk2 prkcl2 zgc:153916	Danio rerio (Zebrafish) (Brachydanio rerio)	977	Evidence at transcript level
A7MBS7	reviewed	THS7A_DANRE	Thrombospondin type-1 domain-containing protein 7A	thsd7aa thsd7a si:dkey-12h3.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1686	Evidence at protein level
A7YD35	reviewed	IOD3_SPAAU	Thyroxine 5-deiodinase (EC 1.21.99.3) (5DIII) (DIOIII) (Type 3 DI) (Type III iodothyronine deiodinase)	dio3	Sparus aurata (Gilthead sea bream)	267	Evidence at transcript level
A7YE96	reviewed	IT70A_DANRE	Intraflagellar transport protein 70A (Protein fleer) (Tetratricopeptide repeat protein 30A) (TPR repeat protein 30A)	ift70a flr ttc30a	Danio rerio (Zebrafish) (Brachydanio rerio)	651	Evidence at transcript level
A8C984	reviewed	MYLK3_DANRE	Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)	mylk3 mlck	Danio rerio (Zebrafish) (Brachydanio rerio)	715	Evidence at transcript level
A8CVX7	reviewed	TTLL6_DANRE	Tubulin polyglutamylase ttll6 (EC 6.3.2.-) (Protein polyglutamylase TTLL6) (Tubulin tyrosine ligase-like family member 6)	ttll6	Danio rerio (Zebrafish) (Brachydanio rerio)	778	Evidence at transcript level
A8DZE6	reviewed	WTIP_DANRE	Wilms tumor protein 1-interacting protein homolog (WT1-interacting protein homolog)	wtip si:ch211-79l17.3	Danio rerio (Zebrafish) (Brachydanio rerio)	648	Inferred from homology
A8HAL1	reviewed	UBP16_DANRE	Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-specific-processing protease 16)	usp16 si:dkey-121n8.2	Danio rerio (Zebrafish) (Brachydanio rerio)	815	Inferred from homology
A8WFU8	reviewed	KIF22_DANRE	Kinesin-like protein KIF22	kif22 zgc:171724	Danio rerio (Zebrafish) (Brachydanio rerio)	634	Evidence at transcript level
A8WGA0	reviewed	C27C1_DANRE	Cytochrome P450 27C1 (EC 1.14.19.53) (All-trans retinol 3,4-desaturase)	cyp27c1	Danio rerio (Zebrafish) (Brachydanio rerio)	540	Evidence at protein level
A8WGB1	reviewed	CCBE1_DANRE	Collagen and calcium-binding EGF domain-containing protein 1 (Full of fluid protein)	ccbe1 fof	Danio rerio (Zebrafish) (Brachydanio rerio)	401	Evidence at protein level
A8WGP3	reviewed	PP4CA_DANRE	Serine/threonine-protein phosphatase 4 catalytic subunit A (PP4C-A) (EC 3.1.3.16)	ppp4ca pp4c zgc:56413	Danio rerio (Zebrafish) (Brachydanio rerio)	311	Evidence at transcript level
A8WIP6	reviewed	CDK20_DANRE	Cyclin-dependent kinase 20 (EC 2.7.11.22) (Cell cycle-related kinase) (Cell division protein kinase 20)	cdk20 ccrk si:dkeyp-77f7.1 zgc:101530	Danio rerio (Zebrafish) (Brachydanio rerio)	344	Evidence at transcript level
A9C3R8	reviewed	RP65C_DANRE	Retinal Mueller cells isomerohydrolase (EC 3.1.1.64) (All-trans-retinyl ester 13-cis isomerohydrolase C) (EC 3.1.1.90) (All-trans-retinylester 11-cis isomerohydrolase C) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein homolog C) (RPE56c)	rpe65c si:ch211-198n5.12	Danio rerio (Zebrafish) (Brachydanio rerio)	532	Evidence at protein level
A9C3R9	reviewed	RP65B_DANRE	All-trans-retinyl ester 13-cis isomerohydrolase (13cIMH) (EC 3.1.1.90) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein homolog B) (RPE56b)	rpe65b rpepb si:ch211-198n5.5	Danio rerio (Zebrafish) (Brachydanio rerio)	532	Evidence at protein level
A9ULR9	reviewed	BACD1_DANRE	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 (BTB/POZ domain-containing protein KCTD13)	kctd13	Danio rerio (Zebrafish) (Brachydanio rerio)	330	Evidence at transcript level
B0BF33	reviewed	PKP2_DANRE	Plakophilin-2	pkp2	Danio rerio (Zebrafish) (Brachydanio rerio)	815	Evidence at transcript level
B0F9W3	reviewed	GPER1_MICUN	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	gper1	Micropogonias undulatus (Atlantic croaker)	354	Evidence at protein level
B0R0I6	reviewed	CHD8_DANRE	Chromodomain-helicase-DNA-binding protein 8 (CHD-8) (EC 3.6.4.-) (ATP-dependent helicase CHD8)	chd8 si:ch211-10e2.6 wu:fi45h08	Danio rerio (Zebrafish) (Brachydanio rerio)	2511	Inferred from homology
B0S5G3	reviewed	CSTN2_DANRE	Calsyntenin-2	clstn2a clstn2	Danio rerio (Zebrafish) (Brachydanio rerio)	937	Evidence at protein level
B0S5N4	reviewed	PLXA3_DANRE	Plexin A3	plxna3 si:dkey-7i23.3	Danio rerio (Zebrafish) (Brachydanio rerio)	1892	Evidence at transcript level
B0S6J3	reviewed	SRGP2_DANRE	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2)	srgap2 si:dkey-85p17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1100	Evidence at transcript level
B0S6T2	reviewed	S15A2_DANRE	Solute carrier family 15 member 2 (Peptide transporter 2) (PEPT2)	slc15a2	Danio rerio (Zebrafish) (Brachydanio rerio)	719	Evidence at protein level
B0V1P1	reviewed	MC4R_DANRE	Melanocortin receptor 4 (MC4-R)	mc4r	Danio rerio (Zebrafish) (Brachydanio rerio)	326	Evidence at protein level
B1Q006	reviewed	MBOA4_DANRE	Membrane-bound ghrelin O-acyltransferase mboat4 (EC 2.3.1.-) (Membrane-bound O-acyltransferase domain-containing protein 4)	mboat4 goat	Danio rerio (Zebrafish) (Brachydanio rerio)	415	Evidence at protein level
B2ZFP3	reviewed	SMAL1_DANRE	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (EC 3.6.4.-) (HepA-related protein) (Sucrose nonfermenting protein 2-like 1)	smarcal1 harp si:ch211-239d11.1	Danio rerio (Zebrafish) (Brachydanio rerio)	807	Evidence at transcript level
B2ZZS9	reviewed	WDR55_ORYLA	WD repeat-containing protein 55 (Protein hokecha)	wdr55	Oryzias latipes (Japanese rice fish) (Japanese killifish)	400	Evidence at protein level
B3DH20	reviewed	DAA11_DANRE	Dynein axonemal assembly factor 11 (DNAAF11) (Leucine-rich repeat-containing 6-like protein) (Leucine-rich repeat-containing protein 6) (Protein tilB homolog) (Seahorse)	dnaaf11 lrrc6 lrrc6l	Danio rerio (Zebrafish) (Brachydanio rerio)	440	Evidence at protein level
B3DIG4	reviewed	FZD5_DANRE	Frizzled-5 (Fz-5)	fzd5	Danio rerio (Zebrafish) (Brachydanio rerio)	592	Evidence at transcript level
B3DIV9	reviewed	KL40A_DANRE	Kelch-like protein 40a (Kelch repeat and BTB domain-containing protein 5a)	klhl40a kbtbd5a	Danio rerio (Zebrafish) (Brachydanio rerio)	612	Evidence at transcript level
B3DJT0	reviewed	SART3_DANRE	Spliceosome associated factor 3, U4/U6 recycling protein (Squamous cell carcinoma antigen recognized by T-cells 3) (SART-3)	sart3 egy si:ch211-191d15.4 wu:fc51h03	Danio rerio (Zebrafish) (Brachydanio rerio)	951	Evidence at transcript level
B3DK56	reviewed	PTPRU_DANRE	Receptor-type tyrosine-protein phosphatase U (R-PTP-U) (EC 3.1.3.48) (Receptor-type protein-tyrosine phosphatase psi) (R-PTP-psi)	ptpru rptppsi	Danio rerio (Zebrafish) (Brachydanio rerio)	1444	Evidence at transcript level
B3EWR7	reviewed	HBAC_OPHSE	Hemoglobin cathodic subunit alpha (Hemoglobin cathodic alpha chain)		Ophisurus serpens (Serpent eel) (Muraena serpens)	142	Evidence at protein level
B3F211	reviewed	IBP2B_DANRE	Insulin-like growth factor-binding protein 2-B (IGF-binding protein 2-B) (IGFBP-2-B) (IGFBP-2b)	igfbp2b igfbp2a	Danio rerio (Zebrafish) (Brachydanio rerio)	265	Evidence at protein level
B3G515	reviewed	GPER1_DANRE	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	gper1	Danio rerio (Zebrafish) (Brachydanio rerio)	353	Evidence at protein level
B5DE31	reviewed	YBOX1_DANRE	Y-box-binding protein 1 (YB-1) (ZfY1) (Y-box transcription factor)	ybx1	Danio rerio (Zebrafish) (Brachydanio rerio)	310	Evidence at protein level
